編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLJMHKFFAT88DA,22,138.10,住家用,鋼筋混凝土造,82年5月14日,004,一層 二層 三層 四層
RPRNMLLJMHKFFAT88DA,22,48.36,見其他登記事項,鋼筋混凝土造,82年5月14日,004
RPPNMLNKMHKFFET66CA,35,92.60,見其他登記事項,加強磚造,68年8月1日,002,一層 二層
RPPNMLMLMHKFFET66CA,,216.16,見其他登記事項,見其他登記事項,104年1月19日,003,一層 二層 三層 屋頂突出物
RPWOMLMLMHKFFET47CA,,216.35,見其他登記事項,見其他登記事項,104年1月19日,003,一層 二層 三層 屋頂突出物
RPPNMLKMLHKFFET56DA,10,139.96,住家用,鋼筋混凝土造,93年10月6日,003,一層 二層 三層 屋頂突出物
RPQNMLRLLHKFFDT17DA,35,126.42,店舖、住宅,鋼筋混凝土造,69年9月3日,002,一層 二層
RPWNMLLJMHKFFCT86CA,,238.82,見其他登記事項,見其他登記事項,103年12月11日,003,一層 二層 三層 見其他登記事項
RPROMLKMLHKFFCT56CA,1,170.97,見其他登記事項,見其他登記事項,103年7月18日,003,一層 二層 三層 騎樓 見其他登記事項
RPWNMLRKMHKFFCT57CA,29,96.08,住家用,鋼筋混凝土造,75年6月27日,003,一層 二層 三層
RPUNMLRLLHKFFAT17CA,,157.93,住商用,鋼筋混凝土加強磚造,,002,一層 二層 騎樓
RPUNMLRLLHKFFAT17CA,,157.37,,鋼筋混凝土加強磚造,,002,一層 二層 騎樓
RPRNMLKMLHKFFAT88CA,29,102.30,住家用,鋼筋混凝土造,75年2月26日,003,一層 二層 三層
RPRNMLKMLHKFFAT88CA,29,51.15,住家用,鋼筋混凝土造,75年2月26日,003,一層 二層 三層
RPSNMLKMLHKFFAT98CA,21,92.80,住家用,鋼筋混凝土造,83年3月2日,007,五層
RPSNMLKMLHKFFAT98CA,21,39.06,見其他登記事項,鋼筋混凝土造,83年3月2日,007
RPXNMLKMLHKFFAT86CA,,216.76,住家用,鋼筋混凝土造,103年9月17日,003,一層 二層 三層 屋頂突出物
RPRNMLLMLHKFFAT98CA,,67.95,住商用,磚造,,001,一層
RPSNMLLMLHKFFAT09CA,30,107.19,住家用,加強磚造,74年5月17日,002,一層 二層 屋頂突出物
RPVNMLLMLHKFFAT76CA,6,233.56,住家用,鋼筋混凝土造,97年12月2日,004,一層 二層 三層 四層
RPVOMLQLLHKFFAT27CA,10,284.18,見其他登記事項,鋼筋混凝土造,94年4月11日,004,一層 二層 三層 四層
RPXOMLQLLHKFFAT47CA,19,196.94,住商用,鋼筋混凝土造,84年11月9日,012,一層 二層 三層 騎樓
RPXOMLQLLHKFFAT47CA,19,38.81,見其他登記事項,鋼筋混凝土造,84年11月9日,012
RPOOMLKMMHKFFAT78CA,,473.57,住家用,鋼筋混凝土造,103年11月26日,004,一層 二層 三層 四層
RPPNMLLMLHKFFAT78CA,15,418.26,見其他登記事項,鋼筋混凝土造,89年7月12日,003,一層 二層 三層 騎樓 見其他登記事項
RPTNMLNKMHKFFAT66CA,15,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,014,十層
RPTNMLNKMHKFFAT66CA,15,23.05,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPXNMLRLMHKFFAT57CA,1,241.59,住家用,鋼筋混凝土造,103年3月5日,003,一層 二層 三層
RPUOMLNLMHKFFAT96CA,16,243.62,農舍,鋼筋混凝土造,87年9月28日,003,一層 二層 三層
RPWNMLLMLHKFFAT86CA,21,35.10,住家用,鋼筋混凝土造,82年11月20日,007,六層
RPPOMLLMLHKFFAT88CA,21,90.35,住家用,鋼筋混凝土造,83年7月29日,006,二層
RPPOMLLMLHKFFAT88CA,21,33.17,見其他登記事項,鋼筋混凝土造,83年7月29日,006
RPPOMLKMLHKFFAT78CA,33,98.66,住家用,鋼筋混凝土造,71年6月18日,005,二層
RPPOMLKMLHKFFAT78CA,36,8.00,住家用,加強磚造,68年5月31日,002,一層 二層
RPQOMLKMLHKFFAT88CA,38,94.98,住家用,加強磚造,66年5月3日,002,一層 二層 騎樓
